group,feature,target,n,spearman_rho,pearson_r,abs_spearman_rho,abs_pearson_r
all_tasks,mean_rms_jerk,flow_of_operation,103,0.2693663330639343,0.29564431165925825,0.2693663330639343,0.29564431165925825
all_tasks,mean_economy_of_motion,flow_of_operation,103,0.24202342265908128,0.30436381252825956,0.24202342265908128,0.30436381252825956
all_tasks,mean_path_length,flow_of_operation,103,0.16313987636867683,0.127463074013751,0.16313987636867683,0.127463074013751
all_tasks,mean_smoothness_score,flow_of_operation,103,-0.07931636990382024,-0.057105764607055375,0.07931636990382024,0.057105764607055375
all_tasks,mean_duration_s,flow_of_operation,103,0.030615056922276368,-0.011574190617570874,0.030615056922276368,0.011574190617570874
all_tasks,mean_rms_jerk,grs,103,0.31514142137486006,0.3801731762797282,0.31514142137486006,0.3801731762797282
all_tasks,mean_economy_of_motion,grs,103,0.19434151889110354,0.27630697991731484,0.19434151889110354,0.27630697991731484
all_tasks,mean_duration_s,grs,103,-0.11952919312702848,-0.1329533638962739,0.11952919312702848,0.1329533638962739
all_tasks,mean_smoothness_score,grs,103,0.0699770291209411,0.09746537533725622,0.0699770291209411,0.09746537533725622
all_tasks,mean_path_length,grs,103,0.04253300755939915,0.04770408315731012,0.04253300755939915,0.04770408315731012
all_tasks,mean_rms_jerk,overall_performance,103,0.32098208283499396,0.3691788029127526,0.32098208283499396,0.3691788029127526
all_tasks,mean_economy_of_motion,overall_performance,103,0.16252083410671736,0.2351789157965824,0.16252083410671736,0.2351789157965824
all_tasks,mean_duration_s,overall_performance,103,-0.1344014775573202,-0.18301819900528277,0.1344014775573202,0.18301819900528277
all_tasks,mean_smoothness_score,overall_performance,103,0.09199054822289039,0.1285063747463482,0.09199054822289039,0.1285063747463482
all_tasks,mean_path_length,overall_performance,103,0.017629708575767435,-0.0019025614141216182,0.017629708575767435,0.0019025614141216182
all_tasks,mean_rms_jerk,quality_of_final_product,103,0.2529449010281058,0.30404962409877917,0.2529449010281058,0.30404962409877917
all_tasks,mean_economy_of_motion,quality_of_final_product,103,0.20614406774053656,0.2494226179019467,0.20614406774053656,0.2494226179019467
all_tasks,mean_path_length,quality_of_final_product,103,0.08116965714407696,0.08254426534778671,0.08116965714407696,0.08254426534778671
all_tasks,mean_duration_s,quality_of_final_product,103,-0.07443134732317848,-0.03369625701374945,0.07443134732317848,0.03369625701374945
all_tasks,mean_smoothness_score,quality_of_final_product,103,0.025357625884778107,0.04297104011860021,0.025357625884778107,0.04297104011860021
all_tasks,mean_rms_jerk,respect_for_tissue,103,0.259480034254329,0.3279615855802158,0.259480034254329,0.3279615855802158
all_tasks,mean_economy_of_motion,respect_for_tissue,103,0.1775195059474852,0.21721430024259278,0.1775195059474852,0.21721430024259278
all_tasks,mean_duration_s,respect_for_tissue,103,-0.08930027711044167,-0.06889076060866378,0.08930027711044167,0.06889076060866378
all_tasks,mean_path_length,respect_for_tissue,103,0.060555772493560416,0.07240807169148959,0.060555772493560416,0.07240807169148959
all_tasks,mean_smoothness_score,respect_for_tissue,103,0.059742141424634444,0.0916958495428657,0.059742141424634444,0.0916958495428657
all_tasks,mean_rms_jerk,suture_needle_handling,103,0.33781223241906977,0.3674932455268295,0.33781223241906977,0.3674932455268295
all_tasks,mean_economy_of_motion,suture_needle_handling,103,0.20561934666138648,0.2695343457110213,0.20561934666138648,0.2695343457110213
all_tasks,mean_duration_s,suture_needle_handling,103,-0.1369284103234709,-0.17153421006194805,0.1369284103234709,0.17153421006194805
all_tasks,mean_smoothness_score,suture_needle_handling,103,0.08470561941494278,0.10739197380774157,0.08470561941494278,0.10739197380774157
all_tasks,mean_path_length,suture_needle_handling,103,0.030238476863720175,0.01575703233753803,0.030238476863720175,0.01575703233753803
all_tasks,mean_rms_jerk,time_and_motion,103,0.3312079550832105,0.38056643886053954,0.3312079550832105,0.38056643886053954
all_tasks,mean_duration_s,time_and_motion,103,-0.2241304768870935,-0.24547222573353245,0.2241304768870935,0.24547222573353245
all_tasks,mean_smoothness_score,time_and_motion,103,0.18055290088536996,0.2033447345038686,0.18055290088536996,0.2033447345038686
all_tasks,mean_economy_of_motion,time_and_motion,103,0.12863654782058592,0.21635807563204862,0.12863654782058592,0.21635807563204862
all_tasks,mean_path_length,time_and_motion,103,-0.03605429917485774,-0.037542330009773625,0.03605429917485774,0.037542330009773625
s
