group,feature,target,n,spearman_rho,pearson_r,abs_spearman_rho,abs_pearson_r
knot_tying,mean_duration_s,time_and_motion,36,-0.7439549443790671,-0.6850154106190594,0.7439549443790671,0.6850154106190594
knot_tying,mean_duration_s,grs,36,-0.7165225016453146,-0.6938769033434922,0.7165225016453146,0.6938769033434922
knot_tying,mean_duration_s,overall_performance,36,-0.7090613550936333,-0.640288516035964,0.7090613550936333,0.640288516035964
knot_tying,mean_smoothness_score,time_and_motion,36,0.6876779098411671,0.6799677150541733,0.6876779098411671,0.6799677150541733
knot_tying,mean_duration_s,flow_of_operation,36,-0.6819903647492811,-0.6600827132753051,0.6819903647492811,0.6600827132753051
knot_tying,mean_duration_s,respect_for_tissue,36,-0.669807000787794,-0.5960036760183414,0.669807000787794,0.5960036760183414
